Id,First Name,Last Name,Full Name,Team Id,Team Name,Team Abbreviation,Conference,Division,Position,Height,Weight,Jersey Number,College,Country,Draft Year,Draft Round,Draft Number,Status
79,Jimmy,Butler,Jimmy Butler,10,Golden State Warriors,GSW,West,Pacific,G-F,6-6,230,10,Marquette,USA,2011,1,30,Active
81,Kentavious,Caldwell-Pope,Kentavious Caldwell-Pope,23,Philadelphia 76ers,PHI,East,Atlantic,G,6-5,204,3,Georgia,USA,2013,1,8,Active
83,Clint,Capela,Clint Capela,11,Houston Rockets,HOU,West,Southwest,C,6-10,256,30,Elan Chalon,Switzerland,2014,1,25,Active
85,Wendell,Carter Jr.,Wendell Carter Jr.,22,Orlando Magic,ORL,East,Southeast,F,6-10,270,34,Duke,USA,2018,1,7,Active
87,Jevon,Carter,Jevon Carter,22,Orlando Magic,ORL,East,Southeast,G,6-0,190,2,West Virginia,USA,2018,2,32,Active
89,Alex,Caruso,Alex Caruso,21,Oklahoma City Thunder,OKC,West,Northwest,G,6-5,186,9,Texas A&M,USA,,,,Active
100,Jordan,Clarkson,Jordan Clarkson,20,New York Knicks,NYK,East,Atlantic,G,6-5,194,0,Missouri,USA,2014,2,46,Active
101,John,Collins,John Collins,9,Detroit Pistons,DET,East,Central,F-C,6-9,226,20,Wake Forest,USA,2017,1,19,Active
102,Zach,Collins,Zach Collins,5,Chicago Bulls,CHI,East,Central,F-C,6-9,240,12,Gonzaga,USA,2017,1,10,Active
104,Mike,Conley,Mike Conley,2,Boston Celtics,BOS,East,Atlantic,G,6-1,175,44,Ohio State,USA,2007,1,4,Active
105,Pat,Connaughton,Pat Connaughton,4,Charlotte Hornets,CHA,East,Southeast,G,6-5,209,21,Notre Dame,USA,2015,2,41,Active
114,Seth,Curry,Seth Curry,10,Golden State Warriors,GSW,West,Pacific,G,6-1,185,31,Duke,USA,,,,Active
115,Stephen,Curry,Stephen Curry,10,Golden State Warriors,GSW,West,Pacific,G,6-2,185,30,Davidson,USA,2009,1,7,Active
117,Anthony,Davis,Anthony Davis,30,Washington Wizards,WAS,East,Southeast,F-C,6-10,253,23,Kentucky,USA,2012,1,1,Active
131,Donte,DiVincenzo,Donte DiVincenzo,18,Minnesota Timberwolves,MIN,West,Northwest,G,6-4,203,0,Villanova,USA,2018,1,17,Active
132,Luka,Doncic,Luka Doncic,14,Los Angeles Lakers,LAL,West,Pacific,F-G,6-8,230,77,Real Madrid,Slovenia,2018,1,3,Active
137,Andre,Drummond,Andre Drummond,20,New York Knicks,NYK,East,Atlantic,C,6-11,279,0,Connecticut,USA,2012,1,9,Active
139,Kris,Dunn,Kris Dunn,13,LA Clippers,LAC,West,Pacific,G,6-3,205,8,Providence,USA,2016,1,5,Active
140,Kevin,Durant,Kevin Durant,11,Houston Rockets,HOU,West,Southwest,F,6-11,240,7,Texas,USA,2007,1,2,Active
145,Joel,Embiid,Joel Embiid,23,Philadelphia 76ers,PHI,East,Atlantic,F-C,7-0,270,21,Kansas,Cameroon,2014,1,3,Active
158,Dorian,Finney-Smith,Dorian Finney-Smith,4,Charlotte Hornets,CHA,East,Southeast,F,6-7,220,2,Florida,USA,,,,Active
161,De'Aaron,Fox,De'Aaron Fox,27,San Antonio Spurs,SAS,West,Southwest,G,6-3,185,4,Kentucky,USA,2017,1,5,Active
172,Paul,George,Paul George,2,Boston Celtics,BOS,East,Atlantic,F,6-8,230,8,Fresno State,USA,2010,1,10,Active
173,Taj,Gibson,Taj Gibson,15,Memphis Grizzlies,MEM,West,Southwest,F,6-9,232,67,Southern California,USA,2009,1,26,Active
175,Shai,Gilgeous-Alexander,Shai Gilgeous-Alexander,21,Oklahoma City Thunder,OKC,West,Northwest,G,6-6,195,2,Kentucky,Canada,2018,1,11,Active
176,Rudy,Gobert,Rudy Gobert,18,Minnesota Timberwolves,MIN,West,Northwest,C,7-1,258,27,Cholet,France,2013,1,27,Active
177,Aaron,Gordon,Aaron Gordon,8,Denver Nuggets,DEN,West,Northwest,F,6-8,235,32,Arizona,USA,2014,1,4,Active
182,Jerami,Grant,Jerami Grant,15,Memphis Grizzlies,MEM,West,Southwest,F,6-7,213,9,Syracuse,USA,2014,2,39,Active
185,Draymond,Green,Draymond Green,10,Golden State Warriors,GSW,West,Pacific,F,6-6,230,23,Michigan State,USA,2012,2,35,Active
188,Jeff,Green,Jeff Green,11,Houston Rockets,HOU,West,Southwest,F,6-8,235,32,Georgetown,USA,2007,1,5,Active
191,Tim,Hardaway Jr.,Tim Hardaway Jr.,16,Miami Heat,MIA,East,Southeast,G,6-5,205,10,Michigan,USA,2013,1,24,Active
192,James,Harden,James Harden,6,Cleveland Cavaliers,CLE,East,Central,G,6-5,220,1,Arizona State,USA,2009,1,3,Active
196,Gary,Harris,Gary Harris,9,Detroit Pistons,DET,East,Central,G,6-4,210,11,Michigan State,USA,2014,1,19,Active
200,Tobias,Harris,Tobias Harris,27,San Antonio Spurs,SAS,West,Southwest,F,6-8,226,12,Tennessee,USA,2011,1,19,Active
201,Isaiah,Hartenstein,Isaiah Hartenstein,21,Oklahoma City Thunder,OKC,West,Northwest,F-C,7-0,250,55,Zalgiris,Germany,2017,2,43,Active
202,Josh,Hart,Josh Hart,20,New York Knicks,NYK,East,Atlantic,G,6-5,215,3,Villanova,USA,2017,1,30,Active
208,Mario,Hezonja,Mario Hezonja,6,Cleveland Cavaliers,CLE,East,Central,F,6-8,220,33,FC Barcelona,Croatia,2015,1,5,Active
210,Buddy,Hield,Buddy Hield,1,Atlanta Hawks,ATL,East,Southeast,G,6-4,220,8,Oklahoma,Bahamas,2016,1,6,Active
213,Aaron,Holiday,Aaron Holiday,11,Houston Rockets,HOU,West,Southwest,G,6-0,185,0,UCLA,USA,2018,1,23,Active
